SK_ID_CURR,TARGET,age,years_employed,income_group,employment_group,age_group,annuity_group,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,loan_income_ratio,annuity_income_ratio,income_per_person,bureau_loan_count,active_loan_count,closed_loan_count,total_external_credit,previous_application_count,approved_application_count,refused_application_count
387025,0,48.57534246575342,2.673972602739726,Very High,2-5 Years,40-50,Very Low Burden,Secondary / secondary special,Married,House / apartment,Secretaries,2025000.0,382500.0,14418.0,0.18888888888888888,0.00712,1012500.0,5.0,2.0,3.0,14005638.945,6.0,5.0,0.0
337101,0,24.493150684931507,6.158904109589041,High,5-10 Years,20-30,Very Low Burden,Higher education,Married,House / apartment,Sales staff,202500.0,360000.0,18000.0,1.7777777777777777,0.08888888888888889,101250.0,1.0,1.0,0.0,143635.5,2.0,1.0,0.0
322386,0,30.931506849315067,2.83013698630137,High,2-5 Years,30-40,Moderate Burden,Higher education,Married,House / apartment,Security staff,202500.0,900000.0,35824.5,4.444444444444445,0.1769111111111111,67500.0,6.0,3.0,3.0,16478910.0,8.0,4.0,3.0
338300,0,24.279452054794522,1.9616438356164383,High,0-2 Years,20-30,Very Low Burden,Incomplete higher,Single / not married,House / apartment,Laborers,180000.0,301500.0,18445.5,1.675,0.102475,180000.0,4.0,2.0,2.0,407448.0,7.0,4.0,0.0
379443,0,43.52876712328767,1.010958904109589,Very High,0-2 Years,40-50,Low Burden,Secondary / secondary special,Married,House / apartment,Laborers,315000.0,1255680.0,41629.5,3.986285714285714,0.13215714285714286,105000.0,1.0,1.0,0.0,395478.0,2.0,2.0,0.0
129426,1,31.28767123287671,2.0356164383561643,Low,2-5 Years,30-40,Very High Burden,Secondary / secondary special,Married,House / apartment,Laborers,112500.0,440784.0,34825.5,3.91808,0.30956,28125.0,4.0,4.0,0.0,243351.0,4.0,2.0,2.0
277039,0,46.6,5.175342465753425,Very High,5-10 Years,40-50,Low Burden,Secondary / secondary special,Married,Municipal apartment,Managers,315000.0,719946.0,39186.0,2.285542857142857,0.1244,105000.0,9.0,0.0,9.0,2037987.0,3.0,2.0,1.0
450086,0,32.41917808219178,4.545205479452055,High,2-5 Years,30-40,Moderate Burden,Secondary / secondary special,Civil marriage,House / apartment,Laborers,202500.0,1078200.0,31653.0,5.3244444444444445,0.15631111111111112,101250.0,3.0,1.0,2.0,153499.5,3.0,3.0,0.0
276602,0,58.07945205479452,,Low,,50-60,Very Low Burden,Secondary / secondary special,Widow,House / apartment,,135000.0,354276.0,10872.0,2.6242666666666667,0.08053333333333333,135000.0,5.0,4.0,1.0,2119378.77,0.0,0.0,0.0
138400,0,42.706849315068496,0.589041095890411,High,0-2 Years,40-50,Very Low Burden,Higher education,Married,House / apartment,Managers,225000.0,247500.0,13423.5,1.1,0.05966,112500.0,3.0,1.0,2.0,299538.0,7.0,2.0,1.0
211463,0,29.797260273972604,6.564383561643836,High,5-10 Years,20-30,Low Burden,Higher education,Married,House / apartment,High skill tech staff,225000.0,468733.5,30649.5,2.08326,0.13622,75000.0,1.0,0.0,1.0,450000.0,3.0,2.0,0.0
114666,0,49.62739726027397,31.073972602739726,Very Low,20+ Years,40-50,Very High Burden,Secondary / secondary special,Married,House / apartment,Sales staff,67500.0,239850.0,23850.0,3.5533333333333332,0.35333333333333333,33750.0,4.0,2.0,2.0,328156.2,4.0,3.0,1.0
124477,0,60.57808219178082,,High,,60-70,Moderate Burden,Secondary / secondary special,Married,House / apartment,,211500.0,1129500.0,31059.0,5.340425531914893,0.14685106382978724,105750.0,14.0,5.0,9.0,1914203.88,13.0,5.0,0.0
165205,0,39.21643835616438,15.986301369863014,Very High,10-20 Years,30-40,Very Low Burden,Higher education,Married,House / apartment,Managers,270000.0,562500.0,25546.5,2.0833333333333335,0.09461666666666667,67500.0,9.0,3.0,6.0,6819373.8,9.0,4.0,1.0
343760,0,39.221917808219175,6.136986301369863,High,5-10 Years,30-40,Moderate Burden,Higher education,Married,House / apartment,High skill tech staff,180000.0,254700.0,27558.0,1.415,0.1531,45000.0,7.0,2.0,5.0,1217587.5,5.0,4.0,1.0
140623,0,37.843835616438355,0.2876712328767123,Medium,0-2 Years,30-40,Low Burden,Secondary / secondary special,Single / not married,House / apartment,Secretaries,148500.0,167121.0,15457.5,1.1253939393939394,0.1040909090909091,148500.0,4.0,3.0,1.0,922455.0,1.0,1.0,0.0
143311,0,43.673972602739724,2.621917808219178,Low,2-5 Years,40-50,Low Burden,Secondary / secondary special,Married,House / apartment,Cooking staff,126000.0,343800.0,13090.5,2.7285714285714286,0.10389285714285715,63000.0,14.0,4.0,10.0,1854814.095,2.0,1.0,0.0
185989,0,58.97260273972603,,Low,,50-60,Very High Burden,Secondary / secondary special,Single / not married,House / apartment,,112500.0,1125000.0,32895.0,10.0,0.2924,56250.0,0.0,0.0,0.0,961704.0,1.0,1.0,0.0
298045,0,39.33424657534247,12.150684931506849,Medium,10-20 Years,30-40,High Burden,Higher education,Married,House / apartment,Sales staff,157500.0,685012.5,33084.0,4.349285714285714,0.21005714285714286,78750.0,10.0,3.0,7.0,2197464.9299999997,6.0,4.0,2.0
112205,0,26.301369863013697,1.8794520547945206,Very Low,0-2 Years,20-30,Very Low Burden,Higher education,Married,House / apartment,Core staff,90000.0,157500.0,9171.0,1.75,0.1019,30000.0,2.0,2.0,0.0,121252.5,9.0,6.0,2.0
189803,1,30.838356164383562,2.1205479452054794,Low,2-5 Years,30-40,High Burden,Higher education,Married,House / apartment,,112500.0,397017.0,24120.0,3.52904,0.2144,37500.0,3.0,3.0,0.0,14998500.0,1.0,1.0,0.0
342139,0,48.51780821917808,8.983561643835616,Very High,5-10 Years,40-50,Very Low Burden,Secondary / secondary special,Single / not married,House / apartment,,243000.0,270000.0,19332.0,1.1111111111111112,0.07955555555555556,243000.0,10.0,2.0,8.0,3353985.0,9.0,5.0,2.0
213028,0,45.52602739726027,1.36986301369863,High,0-2 Years,40-50,Low Burden,Secondary / secondary special,Married,House / apartment,Managers,225000.0,528633.0,25560.0,2.34948,0.1136,112500.0,6.0,2.0,4.0,1720522.845,4.0,3.0,0.0
357624,0,48.81095890410959,21.975342465753425,Low,20+ Years,40-50,Very High Burden,Higher education,Married,House / apartment,Security staff,135000.0,1256400.0,36864.0,9.306666666666667,0.2730666666666667,67500.0,16.0,7.0,9.0,5712399.0,5.0,1.0,0.0
422659,0,47.24109589041096,4.567123287671233,High,2-5 Years,40-50,Very Low Burden,Secondary / secondary special,Married,House / apartment,,175500.0,187929.0,13495.5,1.0708205128205128,0.0768974358974359,87750.0,1.0,0.0,1.0,91530.0,7.0,7.0,0.0
334791,0,68.34794520547945,,Very Low,,60-70,Very High Burden,Secondary / secondary special,Married,House / apartment,,90000.0,239850.0,22671.0,2.665,0.2519,45000.0,5.0,1.0,4.0,714795.345,1.0,1.0,0.0
430775,0,53.605479452054794,5.397260273972603,Very Low,5-10 Years,50-60,High Burden,Secondary / secondary special,Married,House / apartment,Security staff,45000.0,225000.0,10822.5,5.0,0.2405,22500.0,2.0,1.0,1.0,180729.0,6.0,5.0,0.0
266456,0,46.43835616438356,9.408219178082192,Low,5-10 Years,40-50,Low Burden,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,112500.0,391500.0,14886.0,3.48,0.13232,56250.0,13.0,6.0,7.0,1340489.295,6.0,6.0,0.0
112836,0,33.47945205479452,0.7095890410958904,Very High,0-2 Years,30-40,Moderate Burden,Higher education,Civil marriage,House / apartment,Drivers,315000.0,1024740.0,52321.5,3.253142857142857,0.1661,157500.0,3.0,2.0,1.0,4156987.5,3.0,2.0,1.0
430776,0,33.76986301369863,0.3232876712328767,Low,0-2 Years,30-40,Very High Burden,Secondary / secondary special,Married,House / apartment,Laborers,112500.0,585000.0,42700.5,5.2,0.37956,56250.0,0.0,0.0,0.0,961704.0,1.0,1.0,0.0
401108,0,50.15890410958904,13.468493150684932,High,10-20 Years,50-60,Very High Burden,Secondary / secondary special,Married,House / apartment,Medicine staff,202500.0,2013840.0,53253.0,9.944888888888888,0.26297777777777775,101250.0,12.0,3.0,9.0,1780890.93,12.0,6.0,2.0
266876,1,30.063013698630137,0.5315068493150685,High,0-2 Years,30-40,High Burden,Higher education,Single / not married,House / apartment,,225000.0,1223010.0,48631.5,5.4356,0.21614,225000.0,1.0,0.0,1.0,126207.0,2.0,2.0,0.0
193089,0,28.704109589041096,2.3698630136986303,Very High,2-5 Years,20-30,Low Burden,Secondary / secondary special,Civil marriage,House / apartment,Drivers,238500.0,291384.0,30595.5,1.2217358490566037,0.12828301886792454,119250.0,8.0,3.0,5.0,7375770.0,6.0,3.0,3.0
125751,0,58.04383561643836,,Very High,,50-60,Very Low Burden,Secondary / secondary special,Married,House / apartment,,301500.0,469152.0,24084.0,1.5560597014925373,0.07988059701492538,150750.0,1.0,1.0,0.0,625500.0,4.0,3.0,0.0
182248,0,54.227397260273975,34.295890410958904,Low,20+ Years,50-60,Moderate Burden,Secondary / secondary special,Married,House / apartment,Core staff,121500.0,454500.0,19255.5,3.740740740740741,0.15848148148148147,60750.0,3.0,2.0,1.0,4342500.0,1.0,1.0,0.0
333675,1,55.21643835616438,2.747945205479452,Low,2-5 Years,50-60,High Burden,Secondary / secondary special,Civil marriage,House / apartment,Security staff,135000.0,775327.5,30748.5,5.743166666666666,0.22776666666666667,67500.0,7.0,3.0,4.0,625355.1,10.0,2.0,3.0
102143,0,42.78630136986301,7.375342465753425,Very High,5-10 Years,40-50,Low Burden,Higher education,Married,House / apartment,Managers,396000.0,1125171.0,48303.0,2.841340909090909,0.12197727272727273,198000.0,7.0,5.0,2.0,10726915.5,11.0,4.0,7.0
291986,0,62.83287671232877,,Very High,,60-70,Moderate Burden,Secondary / secondary special,Married,House / apartment,,242550.0,1406880.0,38817.0,5.800371057513915,0.16003710575139146,121275.0,6.0,4.0,2.0,1695064.5,3.0,2.0,0.0
138839,1,61.558904109589044,,Low,,60-70,High Burden,Secondary / secondary special,Married,House / apartment,,103500.0,265851.0,21132.0,2.568608695652174,0.20417391304347826,51750.0,0.0,0.0,0.0,961704.0,0.0,0.0,0.0
148136,0,42.06849315068493,5.1945205479452055,Very High,5-10 Years,40-50,High Burden,Secondary / secondary special,Married,House / apartment,High skill tech staff,270000.0,1687266.0,64395.0,6.249133333333333,0.2385,90000.0,5.0,1.0,4.0,301923.0,5.0,4.0,1.0
378496,0,38.652054794520545,15.317808219178081,Very High,10-20 Years,30-40,Very High Burden,Higher education,Separated,House / apartment,Core staff,270000.0,1687266.0,68719.5,6.249133333333333,0.25451666666666667,270000.0,8.0,1.0,7.0,2941290.0,1.0,1.0,0.0
139605,1,61.90684931506849,,Very Low,,60-70,Very High Burden,Higher education,Widow,House / apartment,,76500.0,675000.0,20596.5,8.823529411764707,0.2692352941176471,76500.0,1.0,0.0,1.0,14724.0,0.0,0.0,0.0
233353,1,22.147945205479452,2.136986301369863,Low,2-5 Years,20-30,Low Burden,Secondary / secondary special,Single / not married,Rented apartment,Core staff,112500.0,270000.0,13500.0,2.4,0.12,112500.0,6.0,4.0,2.0,453764.97,4.0,2.0,1.0
110397,0,59.512328767123286,,Very Low,,50-60,Very High Burden,Secondary / secondary special,Married,House / apartment,,58500.0,247275.0,17208.0,4.226923076923077,0.29415384615384615,29250.0,3.0,1.0,2.0,592200.0,1.0,1.0,0.0
426103,0,54.49589041095891,,Low,,50-60,Very High Burden,Secondary / secondary special,Married,House / apartment,,112500.0,1006920.0,42660.0,8.9504,0.3792,56250.0,5.0,3.0,2.0,1909056.33,5.0,3.0,1.0
122624,0,54.602739726027394,0.4410958904109589,Low,0-2 Years,50-60,Moderate Burden,Secondary / secondary special,Married,House / apartment,,121500.0,454500.0,20151.0,3.740740740740741,0.16585185185185186,60750.0,0.0,0.0,0.0,961704.0,1.0,1.0,0.0
296180,0,64.24109589041096,,Very Low,,60-70,Low Burden,Secondary / secondary special,Widow,House / apartment,,54000.0,127350.0,7438.5,2.3583333333333334,0.13775,54000.0,3.0,0.0,3.0,382500.0,5.0,3.0,0.0
312439,0,40.23835616438356,4.49041095890411,Medium,2-5 Years,40-50,Very Low Burden,Secondary / secondary special,Married,House / apartment,Laborers,157500.0,135000.0,6750.0,0.8571428571428571,0.04285714285714286,52500.0,1.0,0.0,1.0,315000.0,0.0,0.0,0.0
421750,0,30.06027397260274,11.161643835616438,Very High,10-20 Years,30-40,Very Low Burden,Secondary / secondary special,Single / not married,House / apartment,,256500.0,253377.0,23368.5,0.9878245614035088,0.09110526315789473,128250.0,14.0,6.0,8.0,3476268.0,7.0,7.0,0.0
308303,0,44.99452054794521,2.265753424657534,Low,2-5 Years,40-50,Very High Burden,Secondary / secondary special,Married,House / apartment,Laborers,112500.0,531706.5,29817.0,4.72628,0.26504,56250.0,2.0,0.0,2.0,162414.0,3.0,3.0,0.0
268606,0,30.52054794520548,2.356164383561644,Very High,2-5 Years,30-40,Low Burden,Secondary / secondary special,Single / not married,House / apartment,Laborers,247500.0,388512.0,31279.5,1.5697454545454546,0.12638181818181818,247500.0,2.0,2.0,0.0,162000.0,4.0,4.0,0.0
257626,0,43.54246575342466,14.07123287671233,Very High,10-20 Years,40-50,Very Low Burden,Secondary / secondary special,Single / not married,House / apartment,Laborers,265500.0,792477.0,21033.0,2.9848474576271187,0.07922033898305085,265500.0,6.0,1.0,5.0,517487.94,4.0,2.0,2.0
247821,0,26.61917808219178,5.676712328767123,Low,5-10 Years,20-30,Moderate Burden,Secondary / secondary special,Married,House / apartment,Core staff,135000.0,405000.0,20250.0,3.0,0.15,45000.0,4.0,3.0,1.0,174935.83500000002,9.0,5.0,0.0
140578,0,54.25205479452055,34.59452054794521,Very Low,20+ Years,50-60,High Burden,Secondary / secondary special,Single / not married,House / apartment,,67500.0,501948.0,13369.5,7.436266666666667,0.19806666666666667,67500.0,0.0,0.0,0.0,961704.0,0.0,0.0,0.0
372540,0,65.74794520547945,,Very Low,,60-70,High Burden,Secondary / secondary special,Married,House / apartment,,87750.0,247275.0,17338.5,2.817948717948718,0.1975897435897436,43875.0,0.0,0.0,0.0,961704.0,2.0,2.0,0.0
